iso3,analysis_type,hazard,aad,population,aad_over_pop
AGO,Prospective,Earthquake,475.77,25830958,0.0000184185967860735
AGO,Prospective,Flood,15615.7,25830958,0.000604534295630847
AGO,Prospective,Tsunami,0.01,25830958,0.000000000387132370390599
BDI,Prospective,Earthquake,9138.84,11552561,0.00079106615407614
BDI,Prospective,Flood,9215.12,11552561,0.000797669019016649
BEN,Prospective,Earthquake,86.65,11166658,0.00000775970751499688
BEN,Prospective,Flood,8712.43,11166658,0.000780218217482796
BFA,Prospective,Earthquake,17.72,18633725,0.000000950963910865916
BFA,Prospective,Flood,8667.93,18633725,0.000465174300897969
BWA,Prospective,Earthquake,538.51,2303820,0.000233746560061116
BWA,Prospective,Flood,1477.82,2303820,0.000641465045012197
CAF,Prospective,Earthquake,402.28,4998493,0.0000804802567493843
CAF,Prospective,Flood,6863.59,4998493,0.00137313186194319
CIV,Prospective,Earthquake,142.27,23254184,0.00000611803880110349
CIV,Prospective,Flood,21723.4,23254184,0.000934171674224303
CIV,Prospective,Tsunami,0.76,23254184,0.0000000326822906363861
CMR,Prospective,Earthquake,2173.02,23924407,0.0000908285835465013
CMR,Prospective,Flood,27116.9,23924407,0.00113344084139682
COD,Prospective,Earthquake,9076.18,79722624,0.000113846980249923
COD,Prospective,Flood,152283,79722624,0.0019101604081672
COG,Prospective,Earthquake,54.09,4740992,0.000011409004697751
COG,Prospective,Flood,8333.6,4740992,0.00175777558789384
COM,Prospective,Earthquake,101.02,807118,0.000125161376651246
COM,Prospective,Storm,56.23,807118,0.0000696676322421257
COM,Prospective,Wind,21.46,807118,0.0000265884294489777
COM,Retrospective,Hydrometeorological,293.667,807118,0.00036384642642092
COM,Retrospective,Total,293.667,807118,0.00036384642642092
COM,Hybrid,Total,867,807118,0.00107419237335805
CPV,Prospective,Earthquake,2.26,526993,0.00000428848201019748
CPV,Prospective,Tsunami,0.02,526993,0.0000000379511682318361
DJI,Prospective,Earthquake,373.96,899598,0.000415696789010202
DJI,Prospective,Flood,22.62,899598,0.0000251445645721756
DJI,Prospective,Tsunami,0.01,899598,0.0000000111160762918548
DZA,Prospective,Earthquake,19629.9,40375954,0.000486177986035946
