,iso3,analysis_type,hazard,aad
0,AGO,Prospective,Earthquake,475.77
1,AGO,Prospective,Flood,15615.66
2,AGO,Prospective,Tsunami,0.01
3,BDI,Prospective,Earthquake,9138.84
4,BDI,Prospective,Flood,9215.12
5,BEN,Prospective,Earthquake,86.65
6,BEN,Prospective,Flood,8712.43
7,BFA,Prospective,Earthquake,17.72
8,BFA,Prospective,Flood,8667.93
9,BWA,Prospective,Earthquake,538.51
10,BWA,Prospective,Flood,1477.82
11,CAF,Prospective,Earthquake,402.28
12,CAF,Prospective,Flood,6863.59
13,CIV,Prospective,Earthquake,142.27
14,CIV,Prospective,Flood,21723.4
15,CIV,Prospective,Tsunami,0.76
16,CMR,Prospective,Earthquake,2173.02
17,CMR,Prospective,Flood,27116.88
18,COD,Prospective,Earthquake,9076.18
19,COD,Prospective,Flood,152282.67
20,COG,Prospective,Earthquake,54.09
21,COG,Prospective,Flood,8333.6
22,COM,Prospective,Earthquake,101.02
23,COM,Prospective,Storm,56.23
24,COM,Prospective,Wind,21.46
25,CPV,Prospective,Earthquake,2.26
26,CPV,Prospective,Tsunami,0.02
27,DJI,Prospective,Earthquake,373.96
28,DJI,Prospective,Flood,22.62
29,DJI,Prospective,Tsunami,0.01
30,DZA,Prospective,Earthquake,19629.88
31,DZA,Prospective,Flood,10772.86
32,DZA,Prospective,Tsunami,8.24
33,EGY,Prospective,Earthquake,10702.57
34,EGY,Prospective,Flood,26236.14
35,EGY,Prospective,Tsunami,2012.39
36,ERI,Prospective,Earthquake,327.7
37,ERI,Prospective,Flood,4264.81
38,ESH,Prospective,Earthquake,16.21
39,ESH,Prospective,Flood,0.01
40,ESH,Prospective,Tsunami,0.1
41,ETH,Prospective,Earthquake,4173.58
42,ETH,Prospective,Flood,100005.22
43,GAB,Prospective,Earthquake,34.74
44,GAB,Prospective,Flood,3476.33
45,GHA,Prospective,Earthquake,28.94
46,GHA,Prospective,Flood,16245.58
47,GHA,Prospective,Tsunami,0.2
48,GIN,Prospective,Earthquake,362.19
49,GIN,Prospective,Flood,20112.36
50,GIN,Prospective,Tsunami,0.02
51,GMB,Prospective,Earthquake,35.47
52,GMB,Prospective,Flood,937.38
53,GMB,Prospective,Tsunami,0.03
54,GNB,Prospective,Earthquake,49.27
55,GNB,Prospective,Flood,629.51
