,iso3,analysis_type,hazard,frequency,return_period,displacement
0,ALB,Hybrid,Total,10.0,0.1,4.0
1,ALB,Hybrid,Total,9.133135384187,0.109491424131453,5.15279628032383
2,ALB,Hybrid,Total,8.27847422858428,0.12079520602324902,6.63782737662977
3,ALB,Hybrid,Total,7.4482199934021605,0.134260266330187,8.550843053932379
4,ALB,Hybrid,Total,6.6545761388509,0.150272531132641,11.015188070483902
5,ALB,Hybrid,Total,5.90974612514081,0.169212006543881,14.1897550291642
6,ALB,Hybrid,Total,5.22593341248217,0.19135337576470002,18.279229233245896
7,ALB,Hybrid,Total,4.671256602287469,0.21407515902900898,23.547286100064
8,ALB,Hybrid,Total,4.19224126536123,0.23853588968330397,30.3335920570327
9,ALB,Hybrid,Total,3.74932238399305,0.266714861402501,39.0757050800846
10,ALB,Hybrid,Total,3.34086955158173,0.299323270352341,50.337286946922795
11,ALB,Hybrid,Total,2.9652523615260202,0.337239424534297,64.8444462354242
12,ALB,Hybrid,Total,2.62084040722471,0.38155699875633897,83.5325553403881
13,ALB,Hybrid,Total,2.30600328207656,0.4336507271141,107.606560110974
14,ALB,Hybrid,Total,2.01911057948035,0.4952675748236471,138.618670669567
15,ALB,Hybrid,Total,1.7585318928348401,0.568656163743468,178.568442652395
16,ALB,Hybrid,Total,1.5226368155388201,0.656755432283522,230.03170177062
17,ALB,Hybrid,Total,1.30979494099104,0.76347828862689,296.326624310052
18,ALB,Hybrid,Total,1.15191308838158,0.8681210501783471,381.72768187643896
19,ALB,Hybrid,Total,1.0141727498056399,0.9860253099796271,491.741244817387
20,ALB,Hybrid,Total,0.8917710932566228,1.1213639997548501,633.46061429421
21,ALB,Hybrid,Total,0.781630867784096,1.27937629028773,816.023374266713
22,ALB,Hybrid,Total,0.683971445255955,1.4620493398313998,1051.2005518947
23,ALB,Hybrid,Total,0.606611458464925,1.64850166617454,1354.15557341935
24,ALB,Hybrid,Total,0.535592871578157,1.8670898233828999,1744.42195042375
25,ALB,Hybrid,Total,0.470604720595437,2.12492556116891,2247.16273436468
26,ALB,Hybrid,Total,0.411336041516555,2.4311023082565297,2894.7929447291604
27,ALB,Hybrid,Total,0.3574758703412971,2.79739160868469,3729.0695794770204
28,ALB,Hybrid,Total,0.30871324306945197,3.23925203226551,4803.78396454948
29,ALB,Hybrid,Total,0.264737195700807,3.7773309389064904,6188.23003600246
30,ALB,Hybrid,Total,0.22523676423515,4.43977253622764,7971.6721778254005
31,ALB,Hybrid,Total,0.18990098467227,5.26590213171246,10269.1006864649
32,ALB,Hybrid,Total,0.158418893011953,6.31237841009626,13228.6459548718
33,ALB,Hybrid,Total,0.130479525253988,7.66403769521254,17041.1294174961
34,ALB,Hybrid,Total,0.10577191739816198,9.45430530710389,21952.3670687477
35,ALB,Hybrid,Total,0.0845594493454897,11.8259994328279,28279.0188440366
36,ALB,Hybrid,Total,0.0671539510979251,14.8911565686103,36429.005777689905
37,ALB,Hybrid,Total,0.0521931133697248,19.159615808243,46927.8113667938
38,ALB,Hybrid,Total,0.0394754435342948,25.332204288755804,60452.3629636383
39,ALB,Hybrid,Total,0.0287994489650411,34.7228865807077,77874.6777539555
40,ALB,Hybrid,Total,0.019963637035369998,50.091072995781296,100318.0874655
41,ALB,Hybrid,Total,0.0127665151186875,78.3299115461989,129229.66698535699
42,ALB,Hybrid,Total,0.00731471895286237,136.71065237697,166473.536837408
43,ALB,Hybrid,Total,0.00340056426490072,294.068843315683,214451.05534703698
44,ALB,Hybrid,Total,0.0015807351621786,632.617040429328,276255.650075933
45,ALB,Hybrid,Total,0.0005854196879398401,1708.17623766484,355872.27153242705
46,ALB,Hybrid,Total,0.000161798436960178,6180.529421592149,458434.32925567
47,ALB,Hybrid,Total,1.93059158259596e-05,51797.5945308616,590554.6766403411
48,ALB,Hybrid,Total,2.03223738427937e-06,492068.49934738205,760751.985280049
49,ALB,Hybrid,Total,8.094e-08,12354830.7388189,980000.0
50,ARG,Hybrid,Total,12.0,0.0833333333333333,3.0
51,ARG,Hybrid,Total,11.1428102425542,0.0897439674760875,3.9291959242097794
52,ARG,Hybrid,Total,10.305721683507901,0.0970334762290626,5.14619353694225
53,ARG,Hybrid,Total,9.57985100443318,0.10438575709969199,6.740134223516071
54,ARG,Hybrid,Total,8.980349357813289,0.11135424248611901,8.82776930655541
55,ARG,Hybrid,Total,8.40587054843997,0.118964477770311,11.5620117263939
56,ARG,Hybrid,Total,7.85585825485509,0.12729353910910698,15.1431364503375
57,ARG,Hybrid,Total,7.329756155600519,0.13643018659439599,19.8334500068063
58,ARG,Hybrid,Total,6.82700792921812,0.146477052666105,25.9765036432539
59,ARG,Hybrid,Total,6.3470572542497505,0.157553329037711,34.0222574134312
60,ARG,Hybrid,Total,5.88934780923729,0.169798088411679,44.56003838709
61,ARG,Hybrid,Total,5.453323272722599,0.18337442142885202,58.361707071061794
62,ARG,Hybrid,Total,5.0384273232475305,0.198474630245425,76.4381938511805
63,ARG,Hybrid,Total,4.64410363935397,0.215326805268951,100.11354657800501
64,ARG,Hybrid,Total,4.26979589958377,0.23420323207895802,131.121913057495
65,ARG,Hybrid,Total,3.9149477824787997,0.25543124852787596,171.734562120032
66,ARG,Hybrid,Total,3.5790029665809304,0.279407424173027,224.926247175994
67,ARG,Hybrid,Total,3.2614051304320197,0.3066163080045,294.59309788390595
68,ARG,Hybrid,Total,2.96159795257393,0.337655554877359,385.83799983525904
69,ARG,Hybrid,Total,2.67902511154854,0.37327011071649796,505.34436545265197
70,ARG,Hybrid,Total,2.4131302858977004,0.414399506667329,661.865673686312
71,ARG,Hybrid,Total,2.16335715416329,0.46224452493918605,866.8666358075391
72,ARG,Hybrid,Total,1.9291493948871699,0.518363172209629,1135.3629507494802
73,ARG,Hybrid,Total,1.7099506866112102,0.5848121865910699,1487.02115952788
74,ARG,Hybrid,Total,1.5052047078772601,0.664361461777692,1947.5991597435502
75,ARG,Hybrid,Total,1.3143551372272,0.7608293768376991,2550.8328934862398
76,ARG,Hybrid,Total,1.1368456532028899,0.87962688442591,3340.9074028088003
77,ARG,Hybrid,Total,0.9721199343462041,1.0286796563559302,4375.693250092871
78,ARG,Hybrid,Total,0.8196216591989979,1.22007512707422,5730.9853612857205
79,ARG,Hybrid,Total,0.70097600713599,1.4265823506367201,7506.05477442325
80,ARG,Hybrid,Total,0.597990330696736,1.672267842249,9830.919942186421
81,ARG,Hybrid,Total,0.505567009014056,1.9779771665682302,12875.8701893572
82,ARG,Hybrid,Total,0.42315183835574205,2.3632179027881297,16863.938889558798
83,ARG,Hybrid,Total,0.35019061498958604,2.8555876633922304,22087.239983659103
84,ARG,Hybrid,Total,0.286129135183381,3.4949254620963197,28928.364440278798
85,ARG,Hybrid,Total,0.23041319520492,4.34002922059494,37888.4038842663
86,ARG,Hybrid,Total,0.18248859132199696,5.47979461486184,49623.6540389577
87,ARG,Hybrid,Total,0.14180111980240198,7.052130486652611,64993.6863980896
88,ARG,Hybrid,Total,0.10779657691392999,9.27673242164683,85124.3092315809
89,ARG,Hybrid,Total,0.0799207589243731,12.5123936941874,111490.02962796699
90,ARG,Hybrid,Total,0.05761946210152401,17.3552470558997,146022.056668078
91,ARG,Hybrid,Total,0.0395719949962085,25.2703964027038,191249.75663498102
92,ARG,Hybrid,Total,0.0249002436383726,40.160249615347,250485.921425427
93,ARG,Hybrid,Total,0.0138169804475756,72.3747134038585,328069.42051224
94,ARG,Hybrid,Total,0.008127242482098791,123.042963490091,429683.009978185
95,ARG,Hybrid,Total,0.00464219804834238,215.41519547126498,562769.577169492
96,ARG,Hybrid,Total,0.0026249918835898,380.953558847752,737077.309627878
97,ARG,Hybrid,Total,0.00123886559686599,807.190063659643,965373.720272455
98,ARG,Hybrid,Total,0.000271008576032615,3689.92012961115,1264380.82901125
99,ARG,Hybrid,Total,1.4269999999999998e-06,700770.847932726,1656000.0
100,BLZ,Hybrid,Total,2.5,0.4,3.0
101,BLZ,Hybrid,Total,2.33139791525555,0.42892720863156,3.76704498585823
102,BLZ,Hybrid,Total,2.16596453342135,0.4616880768681861,4.7302093084932
103,BLZ,Hybrid,Total,2.0068685574076497,0.49828873760010495,5.93963708587307
104,BLZ,Hybrid,Total,1.8862644120806202,0.530148368169107,7.458293367385241
105,BLZ,Hybrid,Total,1.77187376394596,0.564374291412839,9.3652422108894
106,BLZ,Hybrid,Total,1.6621302974446002,0.6016375500389021,11.759762903959599
107,BLZ,Hybrid,Total,1.5569438937576499,0.6422839024638979,14.7665186274142
108,BLZ,Hybrid,Total,1.4562244340662198,0.6867073348080671,18.5420466513275
109,BLZ,Hybrid,Total,1.3598817995514199,0.735358029153614,23.2829079551442
110,BLZ,Hybrid,Total,1.26782587139435,0.7887518487852,29.2359205562082
111,BLZ,Hybrid,Total,1.1799665307761202,0.84748166487591,36.7110093127379
112,BLZ,Hybrid,Total,1.09621365887784,0.912230924967369,46.097341185781296
113,BLZ,Hybrid,Total,1.01647713688062,0.983789958197005,57.883585991764406
114,BLZ,Hybrid,Total,0.940666845965569,1.06307563011167,72.6833574579231
115,BLZ,Hybrid,Total,0.8686926673137858,1.15115510654907,91.26715908907009
116,BLZ,Hybrid,Total,0.800464482106383,1.24927466783854,114.60249800666901
117,BLZ,Hybrid,Total,0.7358921715244681,1.35889473851639,143.90425516095
118,BLZ,Hybrid,Total,0.6748856167491489,1.4817325709457099,180.69793428257302
119,BLZ,Hybrid,Total,0.617354698961532,1.6198143493232098,226.899082431368
120,BLZ,Hybrid,Total,0.563209299342727,1.77553886480037,284.913016922973
121,BLZ,Hybrid,Total,0.5123592990738409,1.95175534396982,357.760050601808
122,BLZ,Hybrid,Total,0.46471457933598104,2.1518584620884402,449.232734919975
123,BLZ,Hybrid,Total,0.420185021310255,2.37990396916511,564.09330718789
124,BLZ,Hybrid,Total,0.37868050617777005,2.64074855633195,708.3216214661079
125,BLZ,Hybrid,Total,0.34011091511963504,2.94021731013321,889.426470839624
126,BLZ,Hybrid,Total,0.304386129316958,3.28530081920618,1116.83650908866
127,BLZ,Hybrid,Total,0.271416029950844,3.6843807647658395,1402.39112386195
128,BLZ,Hybrid,Total,0.241110498202403,4.1474759807453,1760.95681711874
129,BLZ,Hybrid,Total,0.21337941525274304,4.68648767649646,2211.20118274668
130,BLZ,Hybrid,Total,0.18813266228297,5.31539812313878,2776.5647760632105
131,BLZ,Hybrid,Total,0.166996829744419,5.988137628303799,3486.48147252649
132,BLZ,Hybrid,Total,0.148823316815979,6.71937718762513,4377.9108497895095
133,BLZ,Hybrid,Total,0.13227954346839302,7.559747892832281,5497.2623717446295
134,BLZ,Hybrid,Total,0.116923454737664,8.55260394284157,6902.811551142579
135,BLZ,Hybrid,Total,0.10228696799182302,9.77641648425768,8667.733880685291
136,BLZ,Hybrid,Total,0.0879832422764703,11.365800738028,10883.914484663
137,BLZ,Hybrid,Total,0.073812411592506,13.547857039554101,13666.7318286531
138,BLZ,Hybrid,Total,0.0595331273734932,16.7973705417203,17161.0645360656
139,BLZ,Hybrid,Total,0.0441881907104231,22.6304807669828,21548.8340375251
140,BLZ,Hybrid,Total,0.0276188486416507,36.2071574009044,27058.4757373834
141,BLZ,Hybrid,Total,0.0160722743854735,62.2189477367202,33976.831783825495
142,BLZ,Hybrid,Total,0.009688262467721141,103.21768256503701,42664.0846022027
143,BLZ,Hybrid,Total,0.00551934135297846,181.18103883180902,53572.5086589863
144,BLZ,Hybrid,Total,0.00297852253993584,335.736925469612,67270.01670789349
145,BLZ,Hybrid,Total,0.00113313567642817,882.506853152984,84469.7263793565
146,BLZ,Hybrid,Total,0.000132283347782436,7559.53048334308,106067.086404724
147,BLZ,Hybrid,Total,6.53197391841936e-06,153093.07913494902,133186.495335169
148,BLZ,Hybrid,Total,2.80158697310396e-07,3569405.51765942,167239.839812125
149,BLZ,Hybrid,Total,1.248e-15,801282051282051.0,210000.0
150,BOL,Hybrid,Total,9.0,0.111111111111111,3.0
151,BOL,Hybrid,Total,8.05702955230662,0.124115220567078,4.03322946094535
152,BOL,Hybrid,Total,7.1409886633363,0.14003663178101097,5.422313294879169
153,BOL,Hybrid,Total,6.278806891812089,0.159265926987507,7.28981124246076
154,BOL,Hybrid,Total,5.4974137964570495,0.181903716370137,9.800493822607779
155,BOL,Hybrid,Total,4.84949247505408,0.206207145416562,13.175880139051499
156,BOL,Hybrid,Total,4.3383325617031,0.23050330646100398,17.7137826502358
157,BOL,Hybrid,Total,3.8809273138407003,0.257670375952072,23.8145833499045
158,BOL,Hybrid,Total,3.47019680935655,0.288168093897078,32.0165597223244
159,BOL,Hybrid,Total,3.09906112614029,0.32267837235125607,43.0433773033984
160,BOL,Hybrid,Total,2.76044034208157,0.36226104391951097,57.8679391462175
161,BOL,Hybrid,Total,2.49496304026988,0.400807540576565,77.79822566957229
162,BOL,Hybrid,Total,2.25902343600631,0.44266915697337,104.592698593265
163,BOL,Hybrid,Total,2.04423998383366,0.489179356586427,140.615451122044
164,BOL,Hybrid,Total,1.8487949259141299,0.540892873505456,189.044793376516
165,BOL,Hybrid,Total,1.67087050440991,0.598490426014891,254.15367669482998
166,BOL,Hybrid,Total,1.5086489614831902,0.662844721025677,341.686698817722
167,BOL,Hybrid,Total,1.36031253929617,0.735125179774793,459.366953361599
168,BOL,Hybrid,Total,1.22404348001104,0.8169644431184571,617.57744322757
169,BOL,Hybrid,Total,1.09802402579001,0.910726884396282,830.2771794802451
170,BOL,Hybrid,Total,0.9826269378571859,1.01768022173369,1116.2327936767801
171,BOL,Hybrid,Total,0.8781858885395959,1.1387110782012,1500.67432957684
