,iso3,analysis_type,hazard,frequency,return_period,displacement,displacement_stat_error
0,ALB,Retrospective,Hydrometeorological,8.45454545454546,0.11827956989247301,3.0,0.619917349862993
1,ALB,Retrospective,Hydrometeorological,8.45454545454546,0.11827956989247301,4.0,0.619917349862993
2,ALB,Retrospective,Hydrometeorological,4.045454545454549,0.247191011235955,5.0,0.428817324184391
3,ALB,Retrospective,Hydrometeorological,2.7272727272727297,0.3666666666666671,10.0,0.352089395109765
4,ALB,Retrospective,Hydrometeorological,1.72727272727273,0.578947368421053,20.0,0.28020063649859006
5,ALB,Retrospective,Hydrometeorological,0.7272727272727271,1.375,50.0,0.18181818181818202
6,ALB,Retrospective,Hydrometeorological,0.45454545454545503,2.2,100.0,0.14373989364401699
7,ALB,Retrospective,Hydrometeorological,0.136363636363636,7.33333333333333,200.0,0.0787295821622217
8,ALB,Retrospective,Hydrometeorological,0.0454545454545455,22.0,500.0,0.0454545454545455
9,ALB,Retrospective,Hydrometeorological,0.0454545454545455,22.0,1000.0,0.0454545454545455
10,ALB,Retrospective,Hydrometeorological,0.0454545454545455,22.0,2000.0,0.0454545454545455
11,ALB,Retrospective,Landslides,12.909090909090901,0.0774647887323944,3.0,0.7660136157433051
12,ALB,Retrospective,Landslides,12.909090909090901,0.0774647887323944,4.0,0.7660136157433051
13,ALB,Retrospective,Landslides,5.81818181818182,0.171875,5.0,0.51425947722658
14,ALB,Retrospective,Landslides,3.7727272727272703,0.265060240963855,10.0,0.414110617233832
15,ALB,Retrospective,Landslides,2.2727272727272703,0.44,20.0,0.32141217326661303
16,ALB,Retrospective,Landslides,0.818181818181818,1.22222222222222,50.0,0.19284730395996696
17,ALB,Retrospective,Landslides,0.18181818181818202,5.5,100.0,0.0909090909090909
18,ALB,Retrospective,Landslides,0.0454545454545455,22.0,200.0,0.0454545454545455
19,ALB,Retrospective,Tectonic,1.5,0.666666666666667,3.0,0.261116483933547
20,ALB,Retrospective,Tectonic,1.5,0.666666666666667,4.0,0.261116483933547
21,ALB,Retrospective,Tectonic,1.09090909090909,0.916666666666667,5.0,0.22268088570756198
22,ALB,Retrospective,Tectonic,0.818181818181818,1.22222222222222,10.0,0.19284730395996696
23,ALB,Retrospective,Tectonic,0.681818181818182,1.46666666666667,20.0,0.176044697554883
24,ALB,Retrospective,Tectonic,0.36363636363636404,2.75,50.0,0.128564869306645
25,ALB,Retrospective,Tectonic,0.18181818181818202,5.5,100.0,0.0909090909090909
26,ALB,Retrospective,Tectonic,0.0909090909090909,11.0,200.0,0.0642824346533225
27,ALB,Retrospective,Tectonic,0.0454545454545455,22.0,500.0,0.0454545454545455
28,ALB,Retrospective,Total,22.8636363636364,0.0437375745526839,3.0,1.01943915872754
29,ALB,Retrospective,Total,22.8636363636364,0.0437375745526839,4.0,1.01943915872754
30,ALB,Retrospective,Total,10.9545454545455,0.0912863070539419,5.0,0.705644304375456
31,ALB,Retrospective,Total,7.31818181818182,0.136645962732919,10.0,0.5767535245658871
32,ALB,Retrospective,Total,4.68181818181818,0.21359223300970898,20.0,0.4613132529587371
33,ALB,Retrospective,Total,1.90909090909091,0.523809523809524,50.0,0.294579122654903
34,ALB,Retrospective,Total,0.818181818181818,1.22222222222222,100.0,0.19284730395996696
35,ALB,Retrospective,Total,0.272727272727273,3.6666666666666696,200.0,0.11134044285378099
36,ALB,Retrospective,Total,0.0909090909090909,11.0,500.0,0.0642824346533225
37,ALB,Retrospective,Total,0.0454545454545455,22.0,1000.0,0.0454545454545455
38,ALB,Retrospective,Total,0.0454545454545455,22.0,2000.0,0.0454545454545455
39,ARG,Retrospective,Hydrometeorological,21.923076923076895,0.0456140350877193,3.0,0.7497534111391508
40,ARG,Retrospective,Hydrometeorological,9.66666666666667,0.103448275862069,4.0,0.49785866253711797
41,ARG,Retrospective,Hydrometeorological,9.66666666666667,0.103448275862069,5.0,0.49785866253711797
42,ARG,Retrospective,Hydrometeorological,6.53846153846154,0.15294117647058803,10.0,0.40945434417105897
43,ARG,Retrospective,Hydrometeorological,5.53846153846154,0.18055555555555605,20.0,0.376844575812797
44,ARG,Retrospective,Hydrometeorological,4.33333333333333,0.23076923076923103,50.0,0.33333333333333304
45,ARG,Retrospective,Hydrometeorological,3.15384615384615,0.31707317073170693,100.0,0.284372730933575
46,ARG,Retrospective,Hydrometeorological,2.1025641025641,0.47560975609756106,200.0,0.232189362516344
47,ARG,Retrospective,Hydrometeorological,1.05128205128205,0.9512195121951221,500.0,0.164182672754688
48,ARG,Retrospective,Hydrometeorological,0.743589743589744,1.3448275862069,1000.0,0.138081148900885
49,ARG,Retrospective,Hydrometeorological,0.282051282051282,3.54545454545455,2000.0,0.0850416612911641
50,ARG,Retrospective,Hydrometeorological,0.25641025641025605,3.9,3000.0,0.08108404256842
51,ARG,Retrospective,Hydrometeorological,0.102564102564103,9.75,5000.0,0.0512820512820513
52,ARG,Retrospective,Hydrometeorological,0.0256410256410256,39.0,10000.0,0.0256410256410256
53,ARG,Retrospective,Landslides,0.12820512820512803,7.8,3.0,0.0573350763461485
54,ARG,Retrospective,Landslides,0.0512820512820513,19.5,4.0,0.0362618862146947
55,ARG,Retrospective,Landslides,0.0512820512820513,19.5,5.0,0.0362618862146947
56,ARG,Retrospective,Landslides,0.0512820512820513,19.5,10.0,0.0362618862146947
57,ARG,Retrospective,Landslides,0.0512820512820513,19.5,20.0,0.0362618862146947
58,ARG,Retrospective,Landslides,0.0256410256410256,39.0,50.0,0.0256410256410256
59,ARG,Retrospective,Landslides,0.0256410256410256,39.0,100.0,0.0256410256410256
60,ARG,Retrospective,Tectonic,0.35897435897435903,2.78571428571429,3.0,0.0959399329942036
61,ARG,Retrospective,Tectonic,0.12820512820512803,7.8,4.0,0.0573350763461485
62,ARG,Retrospective,Tectonic,0.12820512820512803,7.8,5.0,0.0573350763461485
63,ARG,Retrospective,Tectonic,0.12820512820512803,7.8,10.0,0.0573350763461485
64,ARG,Retrospective,Tectonic,0.102564102564103,9.75,20.0,0.0512820512820513
65,ARG,Retrospective,Tectonic,0.102564102564103,9.75,50.0,0.0512820512820513
66,ARG,Retrospective,Tectonic,0.102564102564103,9.75,100.0,0.0512820512820513
67,ARG,Retrospective,Tectonic,0.102564102564103,9.75,200.0,0.0512820512820513
68,ARG,Retrospective,Tectonic,0.0512820512820513,19.5,500.0,0.0362618862146947
69,ARG,Retrospective,Tectonic,0.0512820512820513,19.5,1000.0,0.0362618862146947
70,ARG,Retrospective,Tectonic,0.0512820512820513,19.5,2000.0,0.0362618862146947
71,ARG,Retrospective,Tectonic,0.0512820512820513,19.5,3000.0,0.0362618862146947
72,ARG,Retrospective,Tectonic,0.0512820512820513,19.5,5000.0,0.0362618862146947
73,ARG,Retrospective,Tectonic,0.0512820512820513,19.5,10000.0,0.0362618862146947
74,ARG,Retrospective,Tectonic,0.0256410256410256,39.0,20000.0,0.0256410256410256
75,ARG,Retrospective,Total,22.4358974358974,0.0445714285714286,3.0,0.758471767064053
76,ARG,Retrospective,Total,9.846153846153848,0.1015625,4.0,0.502459434417062
77,ARG,Retrospective,Total,9.846153846153848,0.1015625,5.0,0.502459434417062
78,ARG,Retrospective,Total,6.717948717948719,0.148854961832061,10.0,0.41503625785227294
79,ARG,Retrospective,Total,5.692307692307691,0.175675675675676,20.0,0.38204267758336796
80,ARG,Retrospective,Total,4.46153846153846,0.224137931034483,50.0,0.338228357904434
81,ARG,Retrospective,Total,3.2820512820512797,0.3046875,100.0,0.290095089717558
82,ARG,Retrospective,Total,2.2051282051282097,0.4534883720930229,200.0,0.237785089628095
83,ARG,Retrospective,Total,1.1025641025641,0.9069767441860458,500.0,0.168139449341077
84,ARG,Retrospective,Total,0.794871794871795,1.25806451612903,1000.0,0.142763188790513
85,ARG,Retrospective,Total,0.33333333333333304,3.0,2000.0,0.0924500327042048
86,ARG,Retrospective,Total,0.307692307692308,3.25,3000.0,0.0888231183368655
87,ARG,Retrospective,Total,0.153846153846154,6.5,5000.0,0.0628074293021328
88,ARG,Retrospective,Total,0.0769230769230769,13.0,10000.0,0.0444115591684328
89,ARG,Retrospective,Total,0.0256410256410256,39.0,20000.0,0.0256410256410256
90,ARG,Retrospective,Volcanic,0.0256410256410256,39.0,3.0,0.0256410256410256
91,ATG,Retrospective,Hydrometeorological,1.0,1.0,3.0,0.707106781186548
92,ATG,Retrospective,Total,1.0,1.0,3.0,0.707106781186548
93,BLZ,Retrospective,Hydrometeorological,2.0,0.5,3.0,1.0
94,BLZ,Retrospective,Hydrometeorological,2.0,0.5,4.0,1.0
95,BLZ,Retrospective,Hydrometeorological,2.0,0.5,5.0,1.0
96,BLZ,Retrospective,Hydrometeorological,1.5,0.666666666666667,10.0,0.8660254037844392
97,BLZ,Retrospective,Hydrometeorological,1.0,1.0,20.0,0.707106781186548
98,BLZ,Retrospective,Hydrometeorological,1.0,1.0,50.0,0.707106781186548
99,BLZ,Retrospective,Hydrometeorological,0.5,2.0,100.0,0.5
100,BLZ,Retrospective,Hydrometeorological,0.5,2.0,200.0,0.5
101,BLZ,Retrospective,Hydrometeorological,0.5,2.0,500.0,0.5
102,BLZ,Retrospective,Tectonic,0.5,2.0,3.0,0.5
103,BLZ,Retrospective,Total,2.5,0.4,3.0,1.1180339887498898
104,BLZ,Retrospective,Total,2.0,0.5,4.0,1.0
105,BLZ,Retrospective,Total,2.0,0.5,5.0,1.0
106,BLZ,Retrospective,Total,1.5,0.666666666666667,10.0,0.8660254037844392
107,BLZ,Retrospective,Total,1.0,1.0,20.0,0.707106781186548
108,BLZ,Retrospective,Total,1.0,1.0,50.0,0.707106781186548
109,BLZ,Retrospective,Total,0.5,2.0,100.0,0.5
110,BLZ,Retrospective,Total,0.5,2.0,200.0,0.5
111,BLZ,Retrospective,Total,0.5,2.0,500.0,0.5
112,BOL,Retrospective,Hydrometeorological,7.18604651162791,0.13915857605178,3.0,0.408799903052255
113,BOL,Retrospective,Hydrometeorological,3.97674418604651,0.251461988304094,4.0,0.304109228619117
114,BOL,Retrospective,Hydrometeorological,3.97674418604651,0.251461988304094,5.0,0.304109228619117
115,BOL,Retrospective,Hydrometeorological,2.93023255813953,0.34126984126984095,10.0,0.26104586419353104
116,BOL,Retrospective,Hydrometeorological,2.09302325581395,0.47777777777777797,20.0,0.220624022802445
117,BOL,Retrospective,Hydrometeorological,1.34883720930233,0.7413793103448281,50.0,0.177111002461951
118,BOL,Retrospective,Hydrometeorological,0.790697674418605,1.26470588235294,100.0,0.135603532438263
119,BOL,Retrospective,Hydrometeorological,0.348837209302326,2.86666666666667,200.0,0.0900693801443585
120,BOL,Retrospective,Hydrometeorological,0.116279069767442,8.6,500.0,0.0520015808720881
121,BOL,Retrospective,Hydrometeorological,0.0930232558139535,10.75,1000.0,0.0465116279069767
122,BOL,Retrospective,Hydrometeorological,0.0232558139534884,43.0,2000.0,0.0232558139534884
123,BOL,Retrospective,Landslides,1.72093023255814,0.581081081081081,3.0,0.20005407597773603
124,BOL,Retrospective,Landslides,0.9767441860465121,1.02380952380952,4.0,0.15071489996297302
125,BOL,Retrospective,Landslides,0.9767441860465121,1.02380952380952,5.0,0.15071489996297302
126,BOL,Retrospective,Landslides,0.7674418604651159,1.3030303030303,10.0,0.133594480152047
127,BOL,Retrospective,Landslides,0.5581395348837211,1.7916666666666698,20.0,0.11392975547828699
128,BOL,Retrospective,Landslides,0.32558139534883695,3.0714285714285694,50.0,0.0870152880645103
129,BOL,Retrospective,Landslides,0.209302325581395,4.77777777777778,100.0,0.0697674418604651
130,BOL,Retrospective,Landslides,0.0930232558139535,10.75,200.0,0.0465116279069767
131,BOL,Retrospective,Tectonic,0.0930232558139535,10.75,3.0,0.0465116279069767
132,BOL,Retrospective,Tectonic,0.0697674418604651,14.333333333333302,4.0,0.0402802513388111
133,BOL,Retrospective,Tectonic,0.0697674418604651,14.333333333333302,5.0,0.0402802513388111
134,BOL,Retrospective,Tectonic,0.0697674418604651,14.333333333333302,10.0,0.0402802513388111
135,BOL,Retrospective,Tectonic,0.0697674418604651,14.333333333333302,20.0,0.0402802513388111
136,BOL,Retrospective,Tectonic,0.0232558139534884,43.0,50.0,0.0232558139534884
137,BOL,Retrospective,Tectonic,0.0232558139534884,43.0,100.0,0.0232558139534884
138,BOL,Retrospective,Tectonic,0.0232558139534884,43.0,200.0,0.0232558139534884
139,BOL,Retrospective,Tectonic,0.0232558139534884,43.0,500.0,0.0232558139534884
140,BOL,Retrospective,Tectonic,0.0232558139534884,43.0,1000.0,0.0232558139534884
141,BOL,Retrospective,Tectonic,0.0232558139534884,43.0,2000.0,0.0232558139534884
142,BOL,Retrospective,Tectonic,0.0232558139534884,43.0,3000.0,0.0232558139534884
143,BOL,Retrospective,Total,9.0,0.111111111111111,3.0,0.45749571099781394
144,BOL,Retrospective,Total,5.02325581395349,0.199074074074074,4.0,0.341789266434862
145,BOL,Retrospective,Total,5.02325581395349,0.199074074074074,5.0,0.341789266434862
146,BOL,Retrospective,Total,3.76744186046512,0.265432098765432,10.0,0.295998187473438
147,BOL,Retrospective,Total,2.7209302325581404,0.367521367521368,20.0,0.25155008898585995
148,BOL,Retrospective,Total,1.69767441860465,0.589041095890411,50.0,0.198697761519012
149,BOL,Retrospective,Total,1.02325581395349,0.9772727272727271,100.0,0.154261618156065
150,BOL,Retrospective,Total,0.465116279069767,2.15,200.0,0.104003161744176
151,BOL,Retrospective,Total,0.13953488372093,7.16666666666667,500.0,0.0569648777391437
152,BOL,Retrospective,Total,0.116279069767442,8.6,1000.0,0.0520015808720881
153,BOL,Retrospective,Total,0.0465116279069767,21.5,2000.0,0.0328886874970487
154,BOL,Retrospective,Total,0.0232558139534884,43.0,3000.0,0.0232558139534884
155,BTN,Retrospective,Hydrometeorological,0.5,2.0,3.0,0.353553390593274
156,BTN,Retrospective,Hydrometeorological,0.5,2.0,4.0,0.353553390593274
157,BTN,Retrospective,Hydrometeorological,0.5,2.0,5.0,0.353553390593274
158,BTN,Retrospective,Hydrometeorological,0.25,4.0,10.0,0.25
159,BTN,Retrospective,Tectonic,0.5,2.0,3.0,0.353553390593274
160,BTN,Retrospective,Tectonic,0.5,2.0,4.0,0.353553390593274
161,BTN,Retrospective,Tectonic,0.5,2.0,5.0,0.353553390593274
162,BTN,Retrospective,Tectonic,0.5,2.0,10.0,0.353553390593274
163,BTN,Retrospective,Tectonic,0.5,2.0,20.0,0.353553390593274
164,BTN,Retrospective,Tectonic,0.5,2.0,50.0,0.353553390593274
165,BTN,Retrospective,Tectonic,0.5,2.0,100.0,0.353553390593274
166,BTN,Retrospective,Tectonic,0.5,2.0,200.0,0.353553390593274
167,BTN,Retrospective,Tectonic,0.5,2.0,500.0,0.353553390593274
168,BTN,Retrospective,Tectonic,0.5,2.0,1000.0,0.353553390593274
169,BTN,Retrospective,Tectonic,0.25,4.0,2000.0,0.25
170,BTN,Retrospective,Tectonic,0.25,4.0,3000.0,0.25
171,BTN,Retrospective,Total,1.0,1.0,3.0,0.5
172,BTN,Retrospective,Total,1.0,1.0,4.0,0.5
173,BTN,Retrospective,Total,1.0,1.0,5.0,0.5
174,BTN,Retrospective,Total,0.75,1.33333333333333,10.0,0.43301270189221897
175,BTN,Retrospective,Total,0.5,2.0,20.0,0.353553390593274
176,BTN,Retrospective,Total,0.5,2.0,50.0,0.353553390593274
177,BTN,Retrospective,Total,0.5,2.0,100.0,0.353553390593274
178,BTN,Retrospective,Total,0.5,2.0,200.0,0.353553390593274
179,BTN,Retrospective,Total,0.5,2.0,500.0,0.353553390593274
180,BTN,Retrospective,Total,0.5,2.0,1000.0,0.353553390593274
181,BTN,Retrospective,Total,0.25,4.0,2000.0,0.25
182,BTN,Retrospective,Total,0.25,4.0,3000.0,0.25
183,CHL,Retrospective,Hydrometeorological,6.86363636363636,0.145695364238411,3.0,0.3949578908405171
184,CHL,Retrospective,Hydrometeorological,3.6363636363636402,0.275,4.0,0.28747978728803497
185,CHL,Retrospective,Hydrometeorological,3.6363636363636402,0.275,5.0,0.28747978728803497
186,CHL,Retrospective,Hydrometeorological,2.5227272727272703,0.396396396396396,10.0,0.23944667620119897
187,CHL,Retrospective,Hydrometeorological,1.9318181818181799,0.5176470588235289,20.0,0.20953510130211103
188,CHL,Retrospective,Hydrometeorological,1.3181818181818201,0.7586206896551719,50.0,0.173085752405998
189,CHL,Retrospective,Hydrometeorological,1.0,1.0,100.0,0.15075567228888198
190,CHL,Retrospective,Hydrometeorological,0.704545454545455,1.41935483870968,200.0,0.12654009915522801
191,CHL,Retrospective,Hydrometeorological,0.568181818181818,1.76,500.0,0.11363636363636401
